country,product,price,month,year,unit,inflation_rate
Thailand,Maize - Wholesale,5.28,1,2000,KG,1.59196917460972
Thailand,Maize - Wholesale,4.718,2,2000,KG,1.59196917460972
Thailand,Maize - Wholesale,5.43,3,2000,KG,1.59196917460972
Thailand,Maize - Wholesale,5.46,4,2000,KG,1.59196917460972
Thailand,Maize - Wholesale,5.125,5,2000,KG,1.59196917460972
Thailand,Maize - Wholesale,4.417,6,2000,KG,1.59196917460972
Thailand,Maize - Wholesale,4.25,7,2000,KG,1.59196917460972
Thailand,Maize - Wholesale,4.0,8,2000,KG,1.59196917460972
Thailand,Maize - Wholesale,4.133,9,2000,KG,1.59196917460972
Thailand,Maize - Wholesale,4.542,10,2000,KG,1.59196917460972
Thailand,Maize - Wholesale,4.5,11,2000,KG,1.59196917460972
Thailand,Maize - Wholesale,4.667,12,2000,KG,1.59196917460972
Thailand,Maize - Wholesale,4.553,1,2001,KG,1.62690887314091
Thailand,Maize - Wholesale,4.293,2,2001,KG,1.62690887314091
Thailand,Maize - Wholesale,4.287,3,2001,KG,1.62690887314091
Thailand,Maize - Wholesale,4.317,4,2001,KG,1.62690887314091
Thailand,Maize - Wholesale,4.4,5,2001,KG,1.62690887314091
Thailand,Maize - Wholesale,4.337,6,2001,KG,1.62690887314091
Thailand,Maize - Wholesale,4.161,7,2001,KG,1.62690887314091
Thailand,Maize - Wholesale,4.3145,8,2001,KG,1.62690887314091
Thailand,Maize - Wholesale,4.3475,9,2001,KG,1.62690887314091
Thailand,Maize - Wholesale,4.501,10,2001,KG,1.62690887314091
Thailand,Maize - Wholesale,4.448,11,2001,KG,1.62690887314091
Thailand,Maize - Wholesale,4.309,12,2001,KG,1.62690887314091
Thailand,Maize - Wholesale,4.3652,1,2002,KG,0.697308976625449
Thailand,Maize - Wholesale,4.4959,2,2002,KG,0.697308976625449
Thailand,Maize - Wholesale,4.864,3,2002,KG,0.697308976625449
Thailand,Maize - Wholesale,4.92,4,2002,KG,0.697308976625449
Thailand,Maize - Wholesale,5.1113,5,2002,KG,0.697308976625449
Thailand,Maize - Wholesale,5.034,6,2002,KG,0.697308976625449
Thailand,Maize - Wholesale,4.8455,7,2002,KG,0.697308976625449
Thailand,Maize - Wholesale,4.4536,8,2002,KG,0.697308976625449
Thailand,Maize - Wholesale,4.38,9,2002,KG,0.697308976625449
Thailand,Maize - Wholesale,4.9955,10,2002,KG,0.697308976625449
Thailand,Maize - Wholesale,4.5505,11,2002,KG,0.697308976625449
Thailand,Maize - Wholesale,4.7944,12,2002,KG,0.697308976625449
Thailand,Maize - Wholesale,4.7509,1,2003,KG,1.80434994635721
Thailand,Maize - Wholesale,4.8984,2,2003,KG,1.80434994635721
Thailand,Maize - Wholesale,5.0705,3,2003,KG,1.80434994635721
Thailand,Maize - Wholesale,5.06,4,2003,KG,1.80434994635721
Thailand,Maize - Wholesale,4.9974,5,2003,KG,1.80434994635721
Thailand,Maize - Wholesale,5.0705,6,2003,KG,1.80434994635721
Thailand,Maize - Wholesale,4.95,7,2003,KG,1.80434994635721
Thailand,Maize - Wholesale,4.9473,8,2003,KG,1.80434994635721
Thailand,Maize - Wholesale,4.7607,9,2003,KG,1.80434994635721
Thailand,Maize - Wholesale,4.7556,10,2003,KG,1.80434994635721
Thailand,Maize - Wholesale,4.9653,11,2003,KG,1.80434994635721
Thailand,Maize - Wholesale,4.9274,12,2003,KG,1.80434994635721
Thailand,Maize - Wholesale,4.875,1,2004,KG,2.7591492623108
Thailand,Maize - Wholesale,4.6805,2,2004,KG,2.7591492623108
Thailand,Maize - Wholesale,5.4,3,2004,KG,2.7591492623108
Thailand,Maize - Wholesale,7.6428,4,2004,KG,2.7591492623108
Thailand,Maize - Wholesale,7.133,5,2004,KG,2.7591492623108
Thailand,Maize - Wholesale,7.1526,6,2004,KG,2.7591492623108
Thailand,Maize - Wholesale,6.0534,7,2004,KG,2.7591492623108
Thailand,Maize - Wholesale,4.91,8,2004,KG,2.7591492623108
Thailand,Maize - Wholesale,4.585,9,2004,KG,2.7591492623108
Thailand,Maize - Wholesale,4.7408,10,2004,KG,2.7591492623108
